t=2026-01-07T08:47:25+0700 lvl=info msg="no configuration paths supplied"
t=2026-01-07T08:47:25+0700 lvl=info msg="using configuration at default config path" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-07T08:47:25+0700 lvl=info msg="open config file" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=cca1f8cd7194 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=f6888b404e0c l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=2cb1e24f449b l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=d25fd25381e6 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=18fee910a1a9 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=9d81b15f7b13 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=81bf6abb3ebf l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=44da260710e1 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=553efa530531 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=73e0078ed021 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=50e262b968ea l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=c9b04eef6f10 l=[::1]:3000 r=203.83.40.12:52939
